"","X","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"1",17,"Abbotsford","18a Mollison St",2,"t",745000,"S","Jellis","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"2",20,"Abbotsford","403/609 Victoria St",2,"u",542000,"S","Dingle","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"3",22,"Abbotsford","25/84 Trenerry Cr",2,"u",760000,"SP","Biggin","10/12/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"4",23,"Abbotsford","106/119 Turner St",1,"u",481000,"SP","Purplebricks","10/12/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"5",28,"Abbotsford","13/84 Trenerry Cr",1,"u",5e+05,"S","Biggin","12/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"6",34,"Abbotsford","250 Langridge St",2,"t",847000,"S","Jellis","16/07/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"7",46,"Abbotsford","65/80 Trenerry Cr",1,"u",480000,"S","Biggin","19/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"8",47,"Abbotsford","119/52 Nicholson St",1,"u",423500,"S","hockingstuart","22/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"9",55,"Abbotsford","17/1 Abbot St",3,"t",962000,"SP","Jellis","25/02/2017",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.7972,144.9969
"10",61,"Abbotsford","4/328 Johnston St",2,"u",1076960.67115367,"PI","Biggin","28/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11",63,"Abbotsford","82/84 Trenerry Cr",2,"u",970000,"SP","Biggin","28/05/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
