"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"1","Abbotsford","68 Studley St",2,"h",1076960.67115367,"SS","Jellis","3/09/2016",2.5,3067,2,1,1,126,146.861538586252,1970,"Yarra",-37.8014,144.9958
"2","Abbotsford","85 Turner St",2,"h",1480000,"S","Biggin","3/12/2016",2.5,3067,2,1,1,202,146.861538586252,1970,"Yarra",-37.7996,144.9984
"3","Abbotsford","25 Bloomburg St",2,"h",1035000,"S","Biggin","4/02/2016",2.5,3067,2,1,0,156,79,1900,"Yarra",-37.8079,144.9934
"5","Abbotsford","5 Charles St",3,"h",1465000,"SP","Biggin","4/03/2017",2.5,3067,3,2,0,134,150,1900,"Yarra",-37.8093,144.9944
"7","Abbotsford","55a Park St",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra",-37.8072,144.9941
"8","Abbotsford","16 Maugie St",4,"h",1076960.67115367,"SN","Nelson","6/08/2016",2.5,3067,3,2,2,400,220,2006,"Yarra",-37.7965,144.9965
"9","Abbotsford","53 Turner St",2,"h",1076960.67115367,"S","Biggin","6/08/2016",2.5,3067,4,1,2,201,146.861538586252,1900,"Yarra",-37.7995,144.9974
"10","Abbotsford","99 Turner St",2,"h",1076960.67115367,"S","Collins","6/08/2016",2.5,3067,3,2,1,202,146.861538586252,1900,"Yarra",-37.7996,144.9989
"11","Abbotsford","129 Charles St",2,"h",941000,"S","Jellis","7/05/2016",2.5,3067,2,1,0,181,146.861538586252,1970,"Yarra",-37.8041,144.9953
"12","Abbotsford","124 Yarra St",3,"h",1876000,"S","Nelson","7/05/2016",2.5,3067,4,2,0,245,210,1910,"Yarra",-37.8024,144.9993
"15","Abbotsford","98 Charles St",2,"h",1636000,"S","Nelson","8/10/2016",2.5,3067,2,1,2,256,107,1890,"Yarra",-37.806,144.9954
"16","Abbotsford","217 Langridge St",3,"h",1e+06,"S","Jellis","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"17","Abbotsford","18a Mollison St",2,"t",745000,"S","Jellis","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"19","Abbotsford","10 Valiant St",2,"h",1097000,"S","Biggin","8/10/2016",2.5,3067,3,1,2,220,75,1900,"Yarra",-37.801,144.9989
"20","Abbotsford","403/609 Victoria St",2,"u",542000,"S","Dingle","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"21","Abbotsford","2 Rich St",2,"h",1076960.67115367,"SP","Biggin","10/12/2016",2.5,3067,2,1,1,176,80,1925,"Yarra",-37.7998,144.9972
